sample_index,actual_label,prediction,confidence,routing_reason,retrieved_evidence_ids,hit_at_1,hit_at_4,first_relevant_rank,reciprocal_rank,relevant_items_retrieved,retrieved_items,precision_at_4,recall_at_4
10050,VULNERABILITYSCAN,BENIGN,0.6754966887417219,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,1,3,0.3333333333333333,1,4,0.25,0.25
10052,VULNERABILITYSCAN,BENIGN,0.5865921787709497,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10055,VULNERABILITYSCAN,BENIGN,0.6111111111111112,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,1,3,0.3333333333333333,1,4,0.25,0.25
10058,VULNERABILITYSCAN,BENIGN,0.5865921787709497,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10064,VULNERABILITYSCAN,BENIGN,0.6282051282051282,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10066,VULNERABILITYSCAN,BENIGN,0.6767857142857143,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10068,VULNERABILITYSCAN,BENIGN,0.6282051282051282,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,1,3,0.3333333333333333,1,4,0.25,0.25
10071,VULNERABILITYSCAN,BENIGN,0.5433962264150943,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10072,VULNERABILITYSCAN,BENIGN,0.5260663507109006,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10073,VULNERABILITYSCAN,BENIGN,0.6881188118811881,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10077,VULNERABILITYSCAN,BENIGN,0.5821917808219178,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,1,3,0.3333333333333333,1,4,0.25,0.25
10079,VULNERABILITYSCAN,BENIGN,0.625,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10081,VULNERABILITYSCAN,BENIGN,0.5260663507109006,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,1,3,0.3333333333333333,1,4,0.25,0.25
10085,VULNERABILITYSCAN,BENIGN,0.5433962264150943,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10086,DNS_SPOOFING,BENIGN,0.5260663507109006,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10091,VULNERABILITYSCAN,BENIGN,0.6111111111111112,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10092,VULNERABILITYSCAN,BENIGN,0.5260663507109006,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,1,3,0.3333333333333333,1,4,0.25,0.25
10094,VULNERABILITYSCAN,BENIGN,0.6548672566371682,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10095,VULNERABILITYSCAN,BENIGN,0.6548672566371682,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10099,DNS_SPOOFING,BENIGN,0.6754966887417219,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,0,0,0.0,0,4,0.0,0.0
10101,VULNERABILITYSCAN,BENIGN,0.6881188118811881,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,1,3,0.3333333333333333,1,4,0.25,0.25
10104,VULNERABILITYSCAN,BENIGN,0.6767857142857143,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10108,VULNERABILITYSCAN,BENIGN,0.5433962264150943,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10109,VULNERABILITYSCAN,BENIGN,0.5433962264150943,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10112,VULNERABILITYSCAN,BENIGN,0.625,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10122,VULNERABILITYSCAN,BENIGN,0.5821917808219178,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,1,3,0.3333333333333333,1,4,0.25,0.25
10128,VULNERABILITYSCAN,BENIGN,0.6548672566371682,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10130,VULNERABILITYSCAN,BENIGN,0.6767857142857143,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,1,3,0.3333333333333333,1,4,0.25,0.25
10131,VULNERABILITYSCAN,BENIGN,0.5433962264150943,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10132,VULNERABILITYSCAN,BENIGN,0.5433962264150943,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10134,VULNERABILITYSCAN,BENIGN,0.6548672566371682,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10135,VULNERABILITYSCAN,BENIGN,0.6881188118811881,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10137,VULNERABILITYSCAN,BENIGN,0.6548672566371682,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10138,VULNERABILITYSCAN,BENIGN,0.5260663507109006,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10139,VULNERABILITYSCAN,BENIGN,0.6767857142857143,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10145,VULNERABILITYSCAN,BENIGN,0.5260663507109006,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10146,DNS_SPOOFING,BENIGN,0.6881188118811881,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,0,0,0.0,0,4,0.0,0.0
10149,VULNERABILITYSCAN,BENIGN,0.5433962264150943,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,1,3,0.3333333333333333,1,4,0.25,0.25
10150,VULNERABILITYSCAN,BENIGN,0.5433962264150943,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10151,VULNERABILITYSCAN,BENIGN,0.5260663507109006,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,1,3,0.3333333333333333,1,4,0.25,0.25
10153,VULNERABILITYSCAN,BENIGN,0.5865921787709497,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10158,DNS_SPOOFING,BENIGN,0.6881188118811881,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,0,0,0.0,0,4,0.0,0.0
10159,VULNERABILITYSCAN,BENIGN,0.6548672566371682,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10163,VULNERABILITYSCAN,BENIGN,0.6767857142857143,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10168,VULNERABILITYSCAN,BENIGN,0.6767857142857143,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10173,VULNERABILITYSCAN,BENIGN,0.6282051282051282,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,1,3,0.3333333333333333,1,4,0.25,0.25
10174,VULNERABILITYSCAN,BENIGN,0.5260663507109006,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,1,3,0.3333333333333333,1,4,0.25,0.25
10177,VULNERABILITYSCAN,BENIGN,0.6881188118811881,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10178,VULNERABILITYSCAN,BENIGN,0.6521739130434783,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,1,3,0.3333333333333333,1,4,0.25,0.25
10179,VULNERABILITYSCAN,BENIGN,0.5260663507109006,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,1,3,0.3333333333333333,1,4,0.25,0.25
10182,VULNERABILITYSCAN,BENIGN,0.6881188118811881,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,1,3,0.3333333333333333,1,4,0.25,0.25
10183,VULNERABILITYSCAN,BENIGN,0.6767857142857143,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10187,VULNERABILITYSCAN,BENIGN,0.6548672566371682,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10191,VULNERABILITYSCAN,BENIGN,0.5865921787709497,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10199,VULNERABILITYSCAN,BENIGN,0.6767857142857143,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10200,VULNERABILITYSCAN,BENIGN,0.6767857142857143,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,1,3,0.3333333333333333,1,4,0.25,0.25
10207,VULNERABILITYSCAN,BENIGN,0.5433962264150943,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10211,VULNERABILITYSCAN,BENIGN,0.6111111111111112,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10212,VULNERABILITYSCAN,BENIGN,0.6548672566371682,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10215,VULNERABILITYSCAN,BENIGN,0.5260663507109006,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10216,VULNERABILITYSCAN,BENIGN,0.6881188118811881,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10218,VULNERABILITYSCAN,BENIGN,0.6548672566371682,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10221,VULNERABILITYSCAN,BENIGN,0.6666666666666666,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10223,VULNERABILITYSCAN,BENIGN,0.5433962264150943,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10224,VULNERABILITYSCAN,BENIGN,0.6767857142857143,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10225,VULNERABILITYSCAN,BENIGN,0.5433962264150943,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,1,3,0.3333333333333333,1,4,0.25,0.25
10229,VULNERABILITYSCAN,BENIGN,0.6754966887417219,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,1,3,0.3333333333333333,1,4,0.25,0.25
10232,VULNERABILITYSCAN,BENIGN,0.6754966887417219,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10233,VULNERABILITYSCAN,BENIGN,0.5433962264150943,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10236,VULNERABILITYSCAN,BENIGN,0.6111111111111112,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10237,VULNERABILITYSCAN,BENIGN,0.6754966887417219,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,1,3,0.3333333333333333,1,4,0.25,0.25
10238,VULNERABILITYSCAN,BENIGN,0.6754966887417219,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10240,VULNERABILITYSCAN,BENIGN,0.6754966887417219,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,1,3,0.3333333333333333,1,4,0.25,0.25
10241,VULNERABILITYSCAN,BENIGN,0.6767857142857143,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10246,DNS_SPOOFING,BENIGN,0.6881188118811881,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10247,VULNERABILITYSCAN,BENIGN,0.5433962264150943,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10253,VULNERABILITYSCAN,BENIGN,0.5865921787709497,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10254,VULNERABILITYSCAN,BENIGN,0.6881188118811881,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10255,VULNERABILITYSCAN,BENIGN,0.6754966887417219,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10256,VULNERABILITYSCAN,BENIGN,0.5433962264150943,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10260,VULNERABILITYSCAN,BENIGN,0.5821917808219178,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10261,VULNERABILITYSCAN,BENIGN,0.5433962264150943,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10262,VULNERABILITYSCAN,BENIGN,0.5865921787709497,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10266,VULNERABILITYSCAN,BENIGN,0.6767857142857143,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10268,DNS_SPOOFING,BENIGN,0.6881188118811881,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,0,0,0.0,0,4,0.0,0.0
10269,VULNERABILITYSCAN,BENIGN,0.625,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,1,3,0.3333333333333333,1,4,0.25,0.25
10270,VULNERABILITYSCAN,BENIGN,0.5821917808219178,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10274,VULNERABILITYSCAN,BENIGN,0.6548672566371682,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10277,VULNERABILITYSCAN,BENIGN,0.5433962264150943,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10278,VULNERABILITYSCAN,BENIGN,0.6767857142857143,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10279,VULNERABILITYSCAN,BENIGN,0.6548672566371682,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10280,DNS_SPOOFING,BENIGN,0.5865921787709497,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10281,VULNERABILITYSCAN,BENIGN,0.6111111111111112,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10284,VULNERABILITYSCAN,BENIGN,0.5865921787709497,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,1,3,0.3333333333333333,1,4,0.25,0.25
10285,VULNERABILITYSCAN,BENIGN,0.6111111111111112,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10286,VULNERABILITYSCAN,BENIGN,0.5821917808219178,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10287,VULNERABILITYSCAN,BENIGN,0.5260663507109006,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10290,VULNERABILITYSCAN,BENIGN,0.5821917808219178,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10292,VULNERABILITYSCAN,BENIGN,0.6282051282051282,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10295,VULNERABILITYSCAN,BENIGN,0.5821917808219178,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10296,VULNERABILITYSCAN,BENIGN,0.5260663507109006,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,1,3,0.3333333333333333,1,4,0.25,0.25
10298,VULNERABILITYSCAN,BENIGN,0.6111111111111112,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10300,VULNERABILITYSCAN,BENIGN,0.5433962264150943,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10303,VULNERABILITYSCAN,BENIGN,0.6767857142857143,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10304,VULNERABILITYSCAN,BENIGN,0.5821917808219178,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10305,VULNERABILITYSCAN,BENIGN,0.6881188118811881,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10306,VULNERABILITYSCAN,BENIGN,0.5260663507109006,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10310,VULNERABILITYSCAN,BENIGN,0.6767857142857143,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10313,VULNERABILITYSCAN,BENIGN,0.5433962264150943,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,1,3,0.3333333333333333,1,4,0.25,0.25
10314,VULNERABILITYSCAN,BENIGN,0.6767857142857143,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10318,VULNERABILITYSCAN,BENIGN,0.6754966887417219,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10319,VULNERABILITYSCAN,BENIGN,0.5865921787709497,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10323,DNS_SPOOFING,BENIGN,0.5821917808219178,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,0,0,0.0,0,4,0.0,0.0
10324,VULNERABILITYSCAN,BENIGN,0.5433962264150943,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment,0,0,0,0.0,0,2,0.0,0.0
10325,VULNERABILITYSCAN,BENIGN,0.6881188118811881,LOW_CONFIDENCE,nist-sp-800-61r3-response|nist-sp-800-61r3-containment|mitre-t1046-overview|mitre-t1498-detection,0,1,3,0.3333333333333333,1,4,0.25,0.25
